Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.X_CT-COM_Alarm,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Capability,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Card,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_CardInterVersion,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_DLNA,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_DeviceType,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_IPForwardModeEnabled,false,2026-02-05T20:34:07.921Z,true,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_IPProtocolVersion,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_InterfaceVersion,false,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_MiddlewareMgt,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Monitor,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Ping,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_PortalManagement,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Qoe,true,2026-02-05T20:34:07.921Z,false,2026-02-05T20:34:07.921Z,"",,,,,,
