Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.X_CT-COM_Alarm,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Monitor,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount.Password,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"S1liw4n9i508",xsd:string,2026-02-23T03:45:53.844Z,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount.Username,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.XponInterface,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"InternetGatewayDevice:1.4[](Baseline:1, EthernetLAN:1, WiFiLAN:1, VoiceService:1, Time:1, IPPing:1, DeviceAssociation:2)",xsd:string,2026-02-23T03:45:53.835Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANConfigSecurity,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2026-02-23T03:45:53.834Z,true,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.10.Active,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
